taxifromsiam.tripid,taxifromsiam.distance,taxifromsiam.originlat,taxifromsiam.originlon,taxifromsiam.deslat,taxifromsiam.deslon,taxifromsiam.origingrid,taxifromsiam.desgrid,taxifromsiam.totaltriptime,taxifromsiam.totaltriptimetopickup,taxifromsiam.avgspeed,taxifromsiam.trafficdelay,taxifromsiam.trafficdelaytopickup,taxifromsiam.waittime,taxifromsiam.costnew
30990,0.24,13.74462,100.53257,13.74425,100.53457,1261,1323,0,2,7.733333333,0,1,1,0
30994,0.26,13.7463,100.54042,13.74853,100.54093,1262,1262,1,0,15.81818182,0,0,0,36
30995,0.54,13.74838,100.54087,13.74363,100.54045,1262,1324,0,3,14.43478261,0,0,1,0
30996,5.02,13.74323,100.54025,13.71947,100.56608,1324,1450,9,3,33.30693069,0,0,1,58
31009,0.76,13.73523,100.54597,13.74193,100.54707,1324,1324,0,1,25.2,0,0,3,0
31010,1.7,13.74228,100.54718,13.74973,100.5565,1324,1263,7,1,30.22222222,3,0,3,46
31015,0.04,13.74312,100.54767,13.7429,100.54743,1324,1324,0,0,12.66666667,0,0,0,0
31016,5.1,13.7429,100.54742,13.72702,100.52143,1324,1384,15,0,32.08080808,2,0,0,63
31020,4.52,13.73953,100.54692,13.72337,100.51973,1324,1445,18,12,22.72566372,3,2,2,61
31023,1,13.74593,100.53352,13.74245,100.5399,1261,1323,0,6,14.64285714,0,0,1,0
31026,3.99,13.73608,100.54613,13.7244,100.52285,1324,1384,13,8,26.77083333,0,1,0,52
31048,11.01,13.73885,100.55758,13.74637,100.53377,1325,1261,47,22,23.96363636,12,7,1,116
31049,0.94,13.74537,100.53795,13.74587,100.52992,1261,1260,0,7,13.92857143,0,5,0,0
31051,2.19,13.73825,100.55985,13.7429,100.5509,1325,1325,0,9,16.1686747,0,3,4,0
31052,0.03,13.74297,100.55095,13.74323,100.5511,1325,1325,0,9,16,0,3,4,36
31063,0.45,13.74537,100.5379,13.74447,100.54153,1261,1262,0,2,10.58333333,0,0,2,0
31064,2.29,13.74463,100.54153,13.74972,100.55652,1262,1263,8,2,32.31111111,3,0,2,49
31078,4.27,13.73898,100.54693,13.73748,100.54855,1324,1324,18,3,23.54545455,6,0,3,66
31079,0.38,13.73742,100.54845,13.73968,100.54787,1324,1324,0,2,8.909090909,0,1,4,0
31080,3.27,13.73918,100.54693,13.7382,100.55355,1324,1325,21,2,16.82692308,5,1,4,58
31081,12.23,13.73875,100.55302,13.76942,100.60368,1325,1144,0,37,39.18592965,0,7,11,0
31083,0.16,13.75415,100.5383,13.75395,100.53735,1261,1261,0,2,5.571428571,0,2,3,0
31084,1.38,13.75382,100.53753,13.75012,100.54303,1261,1262,25,2,10.54237288,21,2,3,80
31085,1.3,13.74972,100.54303,13.74915,100.55422,1262,1263,0,4,23.75,0,2,2,0
31094,0.2,13.74032,100.55747,13.73883,100.5579,1325,1325,0,1,14.88888889,0,0,2,0
31095,0.74,13.73877,100.55802,13.74523,100.5589,1325,1263,3,1,18.07692308,1,0,2,38
31097,2.81,13.73833,100.55862,13.73863,100.55812,1325,1325,38,10,13.48453608,16,5,3,78
31098,0.38,13.7381,100.55898,13.73597,100.56122,1325,1326,0,15,8,0,11,4,0
31106,1.11,13.74692,100.5444,13.74688,100.54802,1262,1262,0,2,26.92857143,0,0,2,0
31107,4.56,13.74695,100.54812,13.72705,100.56812,1262,1388,17,2,21.91452991,2,0,2,60
31110,0.02,13.7455,100.53777,13.74553,100.53755,1261,1261,0,0,15,0,0,4,0
31111,2.28,13.74545,100.53825,13.7278,100.53558,1261,1385,12,0,31.28571429,4,0,4,51
31121,0.27,13.73592,100.55795,13.73833,100.55825,1325,1325,0,1,7.636363636,0,0,2,0
31122,10.34,13.73862,100.55805,13.67322,100.54143,1325,1758,22,1,36.64804469,4,0,2,96
